,Pays,Url,Drapeaux,Capitale,Langues,Population (hab),Superficie (km2)
0,Afghanistan,/wiki/Afghanistan,//upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Flag_of_the_Taliban.svg/20px-Flag_of_the_Taliban.svg.png,Kaboul,Pachto,37 466 414,652 230
1,Afrique du Sud,/wiki/Afrique_du_Sud,//upload.wikimedia.org/wikipedia/commons/thumb/a/af/Flag_of_South_Africa.svg/20px-Flag_of_South_Africa.svg.png,Pretoria,11 langues officielles,56 978 635,1 219 912
2,Albanie,/wiki/Albanie,//upload.wikimedia.org/wikipedia/commons/thumb/3/36/Flag_of_Albania.svg/20px-Flag_of_Albania.svg.png,Tirana,Albanais,3 088 385,28 748
3,Algérie,/wiki/Alg%C3%A9rie,//upload.wikimedia.org/wikipedia/commons/thumb/7/77/Flag_of_Algeria.svg/20px-Flag_of_Algeria.svg.png,Alger,,44 487 616,2 381 741
4,Allemagne,/wiki/Allemagne,//upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Flag_of_Germany.svg/20px-Flag_of_Germany.svg.png,Berlin,Allemand,84 079 811,357 588
5,Andorre,/wiki/Andorre,//upload.wikimedia.org/wikipedia/commons/thumb/1/19/Flag_of_Andorra.svg/20px-Flag_of_Andorra.svg.png,Andorre-la-Vieille,Catalan,79 535,468
6,Angola,/wiki/Angola,//upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Flag_of_Angola.svg/20px-Flag_of_Angola.svg.png,Luanda,Portugais,33 642 646,1 246 700
7,Antigua-et-Barbuda,/wiki/Antigua-et-Barbuda,//upload.wikimedia.org/wikipedia/commons/thumb/8/89/Flag_of_Antigua_and_Barbuda.svg/20px-Flag_of_Antigua_and_Barbuda.svg.png,Saint John's,Anglais,99 337,442
8,Arabie saoudite,/wiki/Arabie_saoudite,//upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Flag_of_Saudi_Arabia.svg/20px-Flag_of_Saudi_Arabia.svg.png,Riyad,Arabe,34 173 498,2 149 690
9,Argentine,/wiki/Argentine,//upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Flag_of_Argentina.svg/20px-Flag_of_Argentina.svg.png,Buenos Aires,guarani,47 327 407,2 791 810
10,Arménie,/wiki/Arm%C3%A9nie,//upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Flag_of_Armenia.svg/20px-Flag_of_Armenia.svg.png,Erevan,Arménien,3 021 324,29 743
11,Australie,/wiki/Australie,//upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Flag_of_Australia.svg/20px-Flag_of_Australia.svg.png,Canberra,Anglais,26 499 819,7 741 200
12,Autriche,/wiki/Autriche,//upload.wikimedia.org/wikipedia/commons/thumb/4/41/Flag_of_Austria.svg/20px-Flag_of_Austria.svg.png,Vienne,Allemand,8 859 449,83 871
13,Azerbaïdjan,/wiki/Azerba%C3%AFdjan,//upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Flag_of_Azerbaijan.svg/20px-Flag_of_Azerbaijan.svg.png,Bakou,Azéri,10 205 810,86 600
14,Bahamas,/wiki/Bahamas,//upload.wikimedia.org/wikipedia/commons/thumb/9/93/Flag_of_the_Bahamas.svg/20px-Flag_of_the_Bahamas.svg.png,Nassau,Anglais,397 900,13 943
15,Bahreïn,/wiki/Bahre%C3%AFn,//upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Flag_of_Bahrain.svg/20px-Flag_of_Bahrain.svg.png,Manama,Arabe,1 442 659,765
16,Bangladesh,/wiki/Bangladesh,//upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Flag_of_Bangladesh.svg/20px-Flag_of_Bangladesh.svg.png,Dacca,Bengali,162 650 853,147 570
17,Barbade,/wiki/Barbade,//upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Flag_of_Barbados.svg/20px-Flag_of_Barbados.svg.png,Bridgetown,Anglais,294 560,430
18,Belgique,/wiki/Belgique,//upload.wikimedia.org/wikipedia/commons/thumb/9/92/Flag_of_Belgium_%28civil%29.svg/20px-Flag_of_Belgium_%28civil%29.svg.png,Bruxelles,Néerlandais,11 507 163,30 688
19,Belize,/wiki/Belize,//upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Flag_of_Belize.svg/20px-Flag_of_Belize.svg.png,Belmopan,,399 598,22 966
